city;postal_code;sex;date_of_birth;working;form_of_employment;pyt_1;pyt_2;pyt_3
Wrocław;50-449;f;1990-07-02;False;;0;0;1
Będzin;42-500;m;1977-03-05;True;freelancer;1;2;4
Mikołów;43-190;m;1971-04-24;False;;0;0;1
Kędzierzyn-Koźle;47-225;f;1998-08-02;False;;1;0;5
Łódź;91-220;f;1979-04-26;False;;2;1;1
Łódź;90-031;m;1982-03-14;True;freelancer;0;0;4
Wrocław;52-116;f;1985-02-18;False;;1;0;0
Warszawa;03-185;f;1976-02-16;True;full-time;1;1;4
Poznań;61-446;m;1995-01-21;True;self-employment;2;1;0
Lublin;20-001;m;1974-01-26;True;freelancer;2;0;8
Mysłowice;41-400;f;1972-04-10;False;;1;0;9
Lublin;20-715;m;1986-07-28;False;;2;1;2
Jastrzębie-Zdrój;44-337;m;1992-04-30;True;self-employment;2;2;1
Łódź;91-611;m;1958-03-26;False;;0;0;1
Bielsko-Biała;43-300;m;1967-07-10;True;full-time;2;0;1
Katowice;40-167;m;1995-07-29;True;full-time;0;2;3
Racibórz;47-404;m;1974-09-05;True;self-employment;0;2;6
Kraków;31-589;f;1990-10-18;False;;2;1;7
Bydgoszcz;85-007;m;1981-02-22;False;;3;2;9
Zabrze;41-807;f;1960-03-20;False;;3;2;8
Białystok;15-483;f;1995-02-13;True;self-employment;1;2;9
Kędzierzyn-Koźle;47-224;f;1980-03-17;True;self-employment;3;0;7
Rzeszów;35-604;m;1985-11-04;False;;1;1;9
Tarnowskie Góry;42-600;f;1966-02-22;True;full-time;0;1;9
Warszawa;03-587;m;1963-03-07;True;freelancer;0;0;9
Łódź;94-101;m;1989-09-21;False;;1;0;6
Rybnik;44-217;f;1988-08-05;True;self-employment;0;1;8
Warszawa;02-787;f;1960-03-17;True;freelancer;0;2;8
Wrocław;54-135;f;1998-04-24;True;self-employment;3;1;9
Bielsko-Biała;43-344;m;1995-12-02;False;;2;2;9
Poznań;60-505;m;1965-05-25;True;full-time;0;2;3
Szczecin;71-062;m;1991-09-09;True;full-time;2;0;7
Kraków;30-376;m;1973-04-25;True;full-time;2;2;6
Gliwice;44-105;f;1973-03-20;False;;2;1;1
Olsztyn;10-340;f;1966-10-18;True;self-employment;3;2;6
Łódź;92-008;f;1979-03-02;True;self-employment;3;1;1
Łódź;93-453;m;1969-10-30;True;full-time;0;2;2
Bydgoszcz;85-549;m;1993-07-01;True;freelancer;2;2;5
Lublin;20-060;f;1978-04-22;False;;0;2;7
Warszawa;02-691;m;1961-02-21;False;;2;0;8
Gdynia;81-350;m;1964-08-10;False;;0;1;4
Warszawa;02-761;m;1990-03-12;True;full-time;3;0;9
Łódź;91-341;f;1963-12-18;False;;2;0;8
Racibórz;47-400;f;1997-12-12;False;;3;2;1
Łódź;91-163;m;1983-11-28;True;freelancer;0;0;4
Warszawa;04-883;f;1962-07-25;False;;0;2;0
Świątki;11-008;f;1977-09-06;False;;1;1;8
Gdańsk;80-328;m;1975-03-20;False;;0;1;5
Tarnowskie Góry;42-609;m;1965-11-09;True;freelancer;2;2;5
Opole;45-142;m;1960-08-14;False;;2;1;3
Szczecin;70-895;m;1966-10-27;False;;3;0;2
Zabrze;41-814;m;1970-10-23;True;freelancer;3;0;0
Strzyżów;38-100;f;1968-12-27;False;;0;0;2
Gniewoszów;26-920;f;1981-12-01;True;freelancer;2;1;7
Katowice;40-731;f;1962-12-15;False;;0;0;5
Rzeszów;35-330;f;1999-07-19;False;;0;1;6
Łódź;91-857;f;1959-12-06;False;;3;1;9
Warszawa;04-141;f;1994-09-30;False;;0;2;3
Gdańsk;80-066;f;1983-06-29;True;full-time;3;2;5
Opole;45-355;f;1993-06-05;False;;2;0;7
Wrocław;51-145;m;1969-03-17;True;full-time;0;0;0
Kraków;30-055;f;1959-07-22;False;;2;0;9
Rzęczkowo;87-133;m;1969-04-27;True;full-time;3;2;0
Katowice;40-230;f;1963-02-20;True;full-time;1;1;9
Poznań;61-655;m;1990-03-21;False;;2;0;3
Warszawa;02-495;f;1961-02-14;False;;0;2;2
Warszawa;03-977;m;1966-05-22;False;;2;0;8
Poznań;61-058;m;1987-04-01;False;;2;2;1
Warszawa;02-173;m;1974-06-12;True;freelancer;1;2;4
Brzeg;49-300;m;1975-02-17;False;;3;0;5
Lublin;20-352;m;1980-07-28;False;;3;0;8
Lublin;20-730;m;1986-02-07;False;;1;0;6
Wrocław;53-302;m;1996-06-15;True;full-time;0;0;6
Łódź;91-336;m;1970-10-13;True;full-time;3;2;1
Szczecin;71-021;f;1973-04-04;False;;0;1;0
Warszawa;03-772;f;1966-04-05;False;;0;2;5
Polne;78-444;m;1988-03-22;True;full-time;2;2;0
Kraków;31-324;m;1984-02-01;False;;0;2;2
Kraków;30-321;m;1967-04-14;True;freelancer;1;0;4
Warszawa;00-545;f;1979-03-31;True;self-employment;2;1;9
Kraków;30-806;f;1963-04-15;False;;0;2;4
Wrocław;53-650;f;1968-09-05;False;;1;1;1
Jastrzębie-Zdrój;44-330;m;1997-07-08;True;full-time;0;2;1
Warszawa;02-495;f;1971-01-01;True;freelancer;0;2;7
Kraków;30-060;f;1988-08-30;True;full-time;0;2;8
Białystok;15-270;f;1982-09-22;True;freelancer;0;2;0
Oświęcim;32-606;m;1960-02-06;False;;2;0;6
Kraków;30-833;f;1968-01-22;False;;0;0;0
Koszalin;75-367;f;1977-08-25;True;self-employment;2;2;5
Lublin;20-078;f;1969-07-16;True;full-time;2;2;3
Warszawa;00-555;m;1964-05-21;False;;2;1;9
Poznań;61-836;m;1990-02-03;False;;2;2;9
Rzeszów;35-051;f;1984-08-21;False;;2;1;2
Tarnowskie Góry;42-600;f;1966-08-01;True;freelancer;2;0;4
Gdańsk;80-732;m;1992-02-21;True;freelancer;1;2;4
Bytom;41-909;f;1977-10-08;False;;1;1;1
Przodkowo;83-304;f;1983-05-07;True;full-time;0;2;7
Jastrzębie-Zdrój;44-330;f;1980-03-21;True;freelancer;3;0;8
Białystok;15-671;m;1982-03-18;True;full-time;1;2;7
Rzeszów;35-230;f;1992-06-19;True;full-time;3;0;8
Wrocław;51-507;f;1992-07-08;False;;2;0;3
Kielce;25-107;m;1997-08-18;False;;0;1;1
Poznań;61-063;f;1984-03-14;False;;0;2;0
Bielsko-Biała;43-382;f;1981-11-14;True;full-time;3;0;4
Wojsławice;22-120;f;1963-11-09;False;;1;0;8
Siemiątkowo Koziebrodzkie;09-135;m;1980-10-07;True;freelancer;3;1;5
Jeżewo;09-205;f;1964-09-25;True;freelancer;3;1;1
Łódź;91-849;m;1961-12-14;False;;3;2;0
Bielsko-Biała;43-300;f;1964-12-09;False;;2;0;0
Bydgoszcz;85-380;f;1986-12-06;True;freelancer;1;0;7
Gdynia;81-591;f;1965-07-03;True;full-time;0;1;5
Wrocław;54-115;f;1986-05-12;True;freelancer;2;1;3
Poznań;61-251;f;1963-10-22;True;full-time;1;2;2
Gdańsk;80-336;f;1993-12-31;False;;2;1;7
Lublin;20-610;f;1970-07-29;True;freelancer;3;1;6
Kraków;31-065;f;1994-07-19;True;full-time;3;0;0
Radom;26-610;f;1972-09-14;False;;0;2;8
Poznań;61-066;f;1980-09-24;False;;3;1;5
Bielsko-Biała;43-300;f;1970-10-09;True;full-time;1;1;7
Chróścina;48-319;f;1977-11-04;True;freelancer;2;1;2
Gdynia;81-613;m;1966-05-28;True;self-employment;1;0;0
Dąbrowa Górnicza;41-303;f;1998-01-28;True;self-employment;3;2;6
Warszawa;00-581;m;1976-02-05;False;;3;0;4
Kraków;30-564;m;1988-10-07;False;;2;1;5
Warszawa;02-496;f;1999-03-31;False;;3;0;5
Jastrzębie-Zdrój;44-330;m;1999-07-22;True;full-time;3;1;1
Gdynia;81-507;f;1978-12-12;True;self-employment;2;2;7
Warszawa;04-050;m;1998-05-26;False;;1;0;5
Rzeszów;35-032;f;1959-08-21;True;freelancer;0;1;9
Białystok;15-249;m;1995-06-07;False;;0;1;0
Kraków;31-224;m;1990-01-07;False;;1;0;4
Kielce;25-108;f;1963-03-11;False;;3;1;1
Warszawa/Wesoła;05-075;f;1974-11-14;True;full-time;2;2;6
Pasłęk;14-400;f;1986-07-06;True;full-time;2;1;7
Gdynia;81-085;f;1969-03-07;False;;0;2;6
Wolbrom;32-340;f;1961-09-21;False;;0;1;8
Gdańsk;80-804;f;1961-01-04;True;self-employment;0;1;5
Białystok;15-379;m;1961-02-13;False;;3;0;3
Bielsko-Biała;43-300;f;1964-11-21;True;full-time;2;0;1
Kraków;31-606;f;1989-01-21;True;freelancer;2;1;2
Bydgoszcz;85-463;f;1983-09-21;True;freelancer;1;1;3
Bydgoszcz;85-304;f;1970-04-30;True;freelancer;0;0;4
Poznań;61-680;f;1964-04-24;True;freelancer;3;2;4
Białystok;15-763;f;1969-01-20;True;full-time;3;0;9
Warszawa;00-621;f;1962-07-07;True;full-time;3;1;9
Łódź;94-246;m;1986-02-08;False;;0;1;0
Warszawa;00-623;f;1974-09-07;True;full-time;3;0;2
Gdańsk;80-261;f;1981-07-21;False;;1;0;5
Białystok;15-399;f;1980-04-16;False;;3;2;2
Łódź;91-134;m;1966-09-15;True;self-employment;2;0;2
Bielawa;58-261;m;1980-03-15;False;;1;1;3
Poznań;61-588;m;1992-01-15;True;full-time;0;1;1
Ruda Śląska;41-710;m;1988-11-15;False;;2;1;1
Szczecin;71-037;f;1986-11-13;False;;0;0;7
Łódź;93-144;f;1999-08-19;True;freelancer;1;0;0
Warszawa;04-871;m;1986-02-03;True;freelancer;3;1;9
Gdańsk;80-299;f;1993-08-19;False;;2;1;1
Bielsko-Biała;43-300;f;1962-02-18;False;;1;2;6
Lublin;20-320;f;1960-07-11;True;freelancer;2;2;4
Lublin;20-826;f;1989-04-30;True;freelancer;0;2;1
Gdańsk;80-335;m;1997-09-23;False;;2;0;6
Wieniawa;26-432;m;1983-11-10;False;;1;2;7
Lublin;20-341;f;1974-09-10;True;full-time;1;2;1
Kraków;31-764;f;1977-07-13;True;freelancer;0;0;6
Warszawa;02-093;f;1998-10-30;False;;1;2;9
Poznań;61-333;m;1958-10-19;False;;3;2;7
Bydgoszcz;85-206;m;1972-07-01;True;full-time;2;0;7
Zawiercie;42-400;m;1976-12-15;False;;0;2;3
Szczecin;71-806;m;1993-11-21;False;;3;0;1
Łódź;94-239;m;1976-07-22;True;full-time;0;2;9
Warszawa;03-109;f;1982-09-04;True;freelancer;3;0;2
Lublin;20-828;f;1963-09-22;False;;2;0;6
Jastrzębie-Zdrój;44-337;m;1978-05-13;True;self-employment;0;2;6
Łódź;91-866;m;1985-06-29;True;freelancer;1;1;0
Rzeszów;35-230;m;1981-04-17;False;;3;2;3
Warszawa;04-082;f;1963-06-20;False;;2;1;9
Łódź;90-355;m;1984-10-14;True;freelancer;2;1;8
Bydgoszcz;85-700;m;1993-08-16;False;;2;2;0
Lublin;20-007;m;1960-07-07;False;;0;1;6
Wrocław;50-017;m;1970-08-29;True;full-time;3;1;0
Gdynia;81-533;m;1976-04-12;False;;3;0;9
Łódź;93-380;m;1971-03-09;False;;1;0;8
Wrocław;53-134;m;1990-03-29;True;self-employment;3;2;8
Kraków;30-419;m;1987-07-19;True;full-time;3;0;5
Poznań;60-452;m;1993-04-10;True;self-employment;0;1;0
Poznań;61-312;f;1988-05-02;True;freelancer;0;1;0
Gdańsk;80-690;m;1993-12-13;True;self-employment;1;1;3
Gdynia;81-017;m;1981-03-01;False;;2;0;5
Lublin;20-460;m;1961-07-09;True;full-time;0;2;2
Dwernik;38-715;m;1959-03-28;False;;1;1;8
Białystok;15-163;m;1996-12-05;True;full-time;1;0;5
Wrocław;54-617;m;1968-06-04;False;;2;2;7
Warszawa;04-819;m;1962-09-10;False;;3;1;9
Koszalin;75-424;m;1995-06-01;True;self-employment;0;1;8
Poznań;60-132;f;1982-08-22;True;freelancer;1;2;8
Kraków;31-422;f;1989-05-27;True;self-employment;1;0;8
Bydgoszcz;85-417;f;1981-04-14;False;;1;2;6
Poznań;61-102;m;1967-02-14;False;;2;0;2
Bydgoszcz;85-602;m;1997-08-28;True;full-time;2;1;2
Bytom;41-923;m;1970-10-05;False;;1;2;2
Szczecin;70-467;m;1971-08-25;True;freelancer;2;2;7
Bydgoszcz;85-174;m;1960-10-14;False;;0;1;6
Koszalin;75-679;m;1996-01-03;True;self-employment;0;1;3
Grodziec;09-151;f;1991-07-06;True;freelancer;0;2;8
Radom;26-600;m;1985-01-25;False;;3;0;5
Kielce;25-410;f;1959-02-22;False;;3;1;6
Częstochowa;42-217;m;1974-01-08;True;self-employment;3;1;4
Bydgoszcz;85-365;m;1959-12-10;False;;2;0;7
Ruda Śląska;41-710;f;1970-05-17;False;;1;0;2
Gdańsk;80-622;m;1983-07-23;False;;3;1;8
Gdynia;81-399;f;1999-07-24;False;;1;1;0
Poznań;61-505;m;1961-08-23;True;self-employment;0;1;5
Łódź;93-369;m;1972-10-19;True;freelancer;0;1;0
Kraków;30-798;m;1968-09-18;True;freelancer;1;1;4
Racibórz;47-400;m;1960-02-18;False;;1;0;1
Jastrzębie-Zdrój;44-338;f;1969-09-10;False;;1;1;0
Warszawa;02-881;f;1987-05-30;False;;0;2;5
Szczecin;71-744;f;1989-04-24;False;;0;2;8
Świętochłowice;41-608;f;1980-02-03;False;;1;2;9
Bydgoszcz;85-361;m;1983-04-08;True;full-time;0;0;6
Bytom;41-902;f;1988-02-09;True;freelancer;3;1;2
Mirosławiec;78-650;f;1958-04-02;False;;2;1;2
Łódź;90-640;f;1962-01-16;True;freelancer;0;2;6
Warszawa;02-496;f;1990-05-06;True;freelancer;3;1;8
Poznań;60-141;f;1963-06-18;False;;3;2;8
Poznań;61-058;f;1972-02-06;True;freelancer;0;0;7
Łódź;91-010;m;1963-08-23;True;full-time;3;1;7
Tarnowskie Góry;42-600;f;1964-02-19;False;;2;2;3
Kielce;25-042;f;1966-07-18;False;;0;1;9
Łódź;94-334;f;1975-05-31;False;;2;1;4
Warszawa/Wesoła;05-077;m;1966-01-18;True;full-time;2;1;6
Szczecin;71-691;m;1990-02-25;False;;2;0;7
Wrocław;53-004;f;1969-09-20;False;;2;0;8
Katowice;40-750;f;1961-03-20;False;;0;0;3
Łódź;93-485;f;1966-04-19;False;;3;2;0
Wrocław;51-215;f;1981-10-23;False;;3;0;2
Wrocław;54-314;m;1964-02-09;False;;0;0;7
Lidzbark;13-230;f;1995-10-23;False;;3;2;2
Warszawa;02-495;f;1994-01-12;False;;0;1;0
Warszawa;03-556;m;1967-10-02;False;;1;2;7
Częstochowa;42-202;m;1964-05-26;False;;1;0;1
Kraków;31-306;f;1967-08-14;False;;0;0;8
Dąbrowa Górnicza;41-303;f;1991-12-02;True;self-employment;2;0;8
Kraków;31-445;f;1975-05-17;False;;3;0;7
Warszawa;02-833;f;1969-07-23;True;self-employment;2;1;3
Katowice;40-019;f;1971-11-02;True;full-time;1;2;4
Poznań;61-351;f;1986-06-17;False;;0;1;3
Wrocław;51-644;m;1989-03-29;False;;0;1;9
Szczecin;71-032;f;1993-03-27;True;self-employment;3;2;9
Koszalin;75-669;f;1980-10-19;True;full-time;1;2;7
Murowana Goślina;62-096;f;1979-01-08;False;;0;0;4
Wrocław;53-329;m;1989-10-17;True;freelancer;0;1;6
Szczecin;71-669;f;1969-02-17;False;;2;0;1
Szczecin;71-601;f;1972-04-28;True;self-employment;1;0;6
Bydgoszcz;85-005;m;1971-11-16;False;;1;0;0
Kraków;30-232;f;1996-12-07;False;;3;0;6
Radom;26-604;m;1989-06-08;True;freelancer;3;0;3
Bydgoszcz;85-142;f;1958-09-25;True;freelancer;3;1;1
Sopot;81-881;m;1987-06-22;True;freelancer;3;1;4
Lublin;20-204;f;1966-02-10;True;full-time;1;2;7
Horyszów;22-457;f;1963-06-27;False;;2;0;2
Brzeg;49-306;f;1975-01-01;True;freelancer;2;0;7
Warszawa;03-254;m;1984-09-04;True;full-time;1;0;9
Poznań;60-865;m;1990-01-07;False;;0;1;4
Rzeszów;35-116;f;1988-08-23;False;;2;1;5
Szczecin;70-405;f;1970-07-31;True;full-time;0;2;8
Wilkołaz;23-212;f;1986-07-07;False;;0;2;2
Warszawa;02-575;m;1971-02-15;True;self-employment;2;0;0
Polana;38-709;m;1973-02-07;True;self-employment;3;2;0
Blichowo;09-452;f;1966-03-10;False;;0;2;1
Kielce;25-441;f;1994-05-25;False;;3;2;9
Lublin;20-460;m;1961-11-28;False;;1;2;3
Warszawa;00-714;m;1999-02-09;True;full-time;3;1;5
Humniska;36-206;f;1988-04-24;True;full-time;2;1;9
Warszawa;00-716;f;1979-12-13;True;full-time;2;1;7
Białystok;15-802;m;1983-04-16;False;;3;0;4
Wrocław;52-130;m;1994-02-05;True;self-employment;2;2;7
Dąbrowa Górnicza;41-300;f;1987-12-02;True;freelancer;3;0;2
Kraków;31-970;f;1985-10-07;True;full-time;3;1;0
Łódź;92-607;m;1983-06-27;True;freelancer;1;2;3
Skarżysko-Kamienna;26-111;m;1972-06-11;True;self-employment;3;1;1
Nowy Sącz;33-306;m;1963-09-17;False;;2;2;2
Bydgoszcz;85-689;f;1985-05-02;False;;0;2;9
Opole;45-751;f;1978-11-16;False;;2;2;8
Opole;45-647;m;1962-03-28;False;;0;1;9
Bydgoszcz;85-348;m;1981-08-06;False;;3;0;4
Wrocław;50-561;m;1968-03-18;False;;0;0;4
Kraków;30-498;f;1977-08-25;True;freelancer;3;2;7
Warszawa;00-727;m;1971-08-15;False;;2;0;0
Koszalin;75-430;f;1975-03-26;True;freelancer;0;1;9
Wrocław;50-517;m;1965-02-15;True;freelancer;1;0;4
Gdynia;81-336;f;1995-10-17;False;;3;2;0
Białystok;15-345;m;1994-08-30;False;;1;0;4
Wrocław;52-129;m;1987-02-25;False;;3;0;3
Kielce;25-624;f;1960-07-17;False;;0;1;7
Gdynia;81-404;m;1968-11-26;False;;2;0;4
Gdańsk;80-774;f;1962-03-30;True;freelancer;2;0;1
Warszawa;00-733;m;1972-06-08;True;full-time;3;0;6
Rybnik;44-210;m;1965-12-01;False;;1;1;9
Łódź;90-030;f;1973-10-11;True;full-time;0;1;1
Słupsk;76-200;m;1985-02-17;True;full-time;3;2;2
Bydgoszcz;85-129;f;1981-03-05;True;self-employment;3;2;2
Warszawa;04-157;m;1991-11-23;False;;2;1;8
Wrocław;51-252;m;1979-06-26;False;;3;2;8
Białystok;15-769;m;1965-08-07;False;;3;2;5
Bydgoszcz;85-048;f;1981-05-07;False;;3;2;7
Warszawa;03-134;m;1997-08-03;True;self-employment;3;0;7
Ługi-Radły;42-142;f;1989-06-23;False;;0;2;9
Warszawa;03-939;f;1979-11-13;False;;3;2;5
Kraków;31-621;m;1986-07-16;False;;2;1;6
Rybnik;44-203;f;1987-01-26;False;;2;1;8
Kraków;31-831;f;1998-04-01;False;;1;2;8
Opole;45-044;f;1975-06-12;True;self-employment;1;2;6
Warszawa;00-748;f;1982-09-23;False;;3;0;4
Gdańsk;80-405;f;1986-04-19;True;freelancer;1;0;3
Sopot;81-705;m;1960-09-25;True;freelancer;0;1;7
Białystok;15-584;m;1979-08-04;False;;3;0;4
Kraków;31-998;m;1988-09-21;True;full-time;1;1;6
Gorenice;32-327;f;1990-05-13;False;;0;0;5
Brodnica;87-301;f;1980-05-08;True;freelancer;2;1;2
Warszawa;04-761;m;1995-03-10;True;full-time;0;1;4
Zielona Góra;65-364;f;1998-04-10;True;freelancer;1;0;4
Będzin;42-500;m;1993-06-19;False;;1;0;6
Lubotyń;07-303;f;1987-05-28;True;self-employment;1;1;5
Gdynia;81-023;m;1998-05-22;True;freelancer;3;0;5
Poznań;60-406;f;1972-09-22;False;;1;0;6
Warszawa;02-850;m;1968-05-12;False;;3;1;9
Dobra;72-210;m;1962-04-25;False;;1;0;9
Szczecin;70-484;f;1972-06-26;True;full-time;0;2;6
Warszawa;00-766;m;1981-12-22;True;self-employment;1;1;0
Poznań;60-177;f;1977-10-17;False;;2;2;0
Rybnik;44-251;m;1981-10-16;False;;2;2;3
Bielsko-Biała;43-318;f;1989-02-15;False;;2;2;4
Radom;26-610;m;1969-10-28;False;;1;2;8
Kraków;31-346;f;1994-06-16;True;self-employment;1;2;5
Warszawa;00-770;m;1966-02-27;True;freelancer;0;1;2
Opole;45-771;f;1969-02-05;False;;0;1;4
Warszawa;04-502;m;1985-10-30;True;self-employment;0;0;9
Wrocław;50-411;f;1976-06-22;False;;0;2;3
Katowice;40-877;m;1982-07-20;False;;1;1;8
Gdynia;81-591;m;1965-08-12;True;full-time;1;2;4
Łódź;91-818;m;1969-07-09;False;;3;1;5
Opole;45-221;m;1991-09-21;True;freelancer;3;0;9
Kraków;30-069;f;1984-05-09;True;self-employment;0;2;6
Warszawa;04-743;f;1971-07-17;True;full-time;2;2;4
Szczecin;70-780;m;1962-02-15;False;;0;0;3
Lublin;20-850;f;1975-06-04;True;full-time;0;0;9
Jaworzno;43-600;m;1980-08-12;False;;0;1;2
Gdynia;81-632;m;1982-10-03;True;freelancer;3;1;4
Warszawa;00-783;m;1988-06-16;False;;3;1;4
Kielce;25-346;f;1984-05-25;True;self-employment;2;2;7
Szczecin;70-314;m;1963-12-28;False;;1;0;2
Kraków;31-411;m;1973-12-07;False;;0;1;9
Bytom;41-902;m;1981-11-17;True;self-employment;2;1;8
Bydgoszcz;85-680;m;1967-04-17;True;self-employment;1;1;2
Dąbrowa Górnicza;41-300;m;1983-01-27;False;;0;2;1
Białystok;15-198;f;1971-09-09;False;;0;2;2
Opole;45-523;m;1992-01-14;True;full-time;2;1;3
Bielsko-Biała;43-300;f;1986-01-25;False;;3;1;6
Gdynia;81-544;m;1992-09-24;False;;0;2;0
Kraków;30-054;f;1982-02-05;False;;3;1;2
Łódź;93-217;f;1994-01-07;False;;3;1;1
Gdynia;81-660;m;1995-05-01;True;full-time;1;1;1
Kraków;30-713;f;1973-03-02;True;freelancer;0;0;4
Szczecin;70-641;f;1989-09-24;True;freelancer;2;1;6
Gdynia;81-065;m;1960-10-18;False;;2;1;3
Łomża;18-400;f;1998-01-26;False;;2;0;3
Białystok;15-482;m;1974-11-14;False;;0;1;6
Bytom;41-936;f;1987-12-14;False;;2;0;6
Kraków;31-998;m;1966-10-18;True;self-employment;3;0;5
Kościerzyna;83-400;m;1987-09-15;True;self-employment;2;1;8
Wrocław;50-159;f;1960-02-02;True;full-time;2;0;7
Łódź;90-736;m;1983-11-04;True;freelancer;2;1;4
Kraków;30-804;m;1978-03-08;False;;1;2;6
Białystok;15-678;m;1969-10-19;True;freelancer;3;0;0
Warszawa;00-811;m;1982-04-27;True;full-time;0;0;0
Gdynia;81-179;f;1960-02-02;True;freelancer;1;1;5
Łódź;90-560;f;1986-01-09;False;;0;2;8
Warszawa;04-144;m;1980-06-30;True;freelancer;1;2;1
Rzeszów;35-119;f;1962-05-07;False;;0;1;0
Wrocław;50-334;m;1996-07-22;True;freelancer;1;2;9
Olsztyn;10-841;f;1998-07-24;True;self-employment;3;2;4
Olsztyn;10-141;f;1995-12-29;False;;0;2;4
Warszawa;02-907;m;1976-04-11;False;;1;1;5
Będzin;42-500;m;1963-12-12;True;full-time;3;0;3
Świętochłowice;41-608;m;1999-03-20;True;self-employment;1;1;4
Gdynia;81-603;f;1958-06-08;True;self-employment;0;2;3
Kielce;25-612;f;1967-07-15;True;full-time;1;1;8
Gdynia;81-524;f;1975-06-04;False;;2;1;2
Częstochowa;42-208;f;1966-07-09;True;full-time;2;1;1
Brzeg;49-300;f;1976-05-10;False;;2;1;5
Katowice;40-629;f;1980-02-13;False;;2;0;7
Gdańsk;80-343;m;1985-08-28;True;freelancer;2;0;4
Szczecin;71-610;m;1982-01-13;False;;3;2;3
Łódź;91-150;m;1984-10-15;True;full-time;0;0;4
Legionowo;05-122;m;1996-07-18;False;;0;1;2
Kraków;30-863;f;1993-01-06;False;;2;2;0
Wrocław;51-413;m;1990-01-05;True;full-time;2;2;0
Łódź;92-539;f;1970-07-17;False;;1;1;7
Kraków;31-908;f;1978-12-28;False;;2;1;9
Mysłowice;41-400;m;1982-09-19;False;;3;0;8
Rzeszów;35-322;m;1985-11-15;False;;2;2;8
Jasienica;43-385;f;1962-08-05;False;;3;0;5
Konin;62-504;m;1998-03-19;False;;2;2;0
Gdańsk;80-452;f;1960-10-12;True;self-employment;2;1;6
Łódź;92-204;m;1988-05-16;False;;0;0;1
Poznań;61-728;m;1993-02-16;True;self-employment;3;2;8
Kraków;30-329;f;1988-10-07;True;self-employment;1;2;5
Białystok;15-771;m;1990-01-12;False;;3;0;4
Warszawa;00-847;f;1984-06-21;False;;2;1;2
Warszawa;00-848;m;1995-01-18;False;;1;1;5
Janowiec Kościelny;13-111;m;1970-12-17;False;;0;1;0
Łódź;90-443;f;1977-05-23;True;self-employment;0;1;1
Zielona Góra;65-128;f;1996-02-21;True;full-time;3;2;5
Warszawa;00-852;f;1978-12-27;False;;1;0;8
Krosno Odrzańskie;66-602;f;1993-04-28;False;;2;1;8
Poznań;61-605;f;1970-11-24;False;;0;1;4
Łódź;93-263;m;1989-07-01;True;self-employment;0;2;0
Radom;26-617;f;1961-07-14;False;;0;2;4
Kraków;31-998;f;1970-05-22;True;full-time;0;2;9
Katowice;40-566;m;1977-01-02;True;self-employment;1;0;0
Wyszków;07-201;m;1985-03-04;False;;2;1;5
Olsztyn;10-269;m;1979-02-24;True;freelancer;3;1;1
Łódź;93-466;m;1979-04-30;True;full-time;0;2;3
Kraków;30-427;f;1998-11-26;True;freelancer;3;0;9
Warszawa;00-867;m;1990-11-12;False;;0;2;2
Warszawa;03-562;f;1992-09-20;True;full-time;1;2;9
Poznań;60-161;m;1979-07-30;True;freelancer;1;1;5
Szczecin;71-690;f;1985-09-20;False;;0;1;6
Bierutów;56-420;f;1974-08-19;True;full-time;3;2;8
Rzeszów;35-231;m;1967-07-07;False;;1;0;0
Kraków;30-150;f;1974-06-25;False;;3;1;4
Mikołów;43-190;f;1993-11-19;True;full-time;0;1;7
Polańczyk;38-610;f;1978-05-09;False;;1;2;8
Gdańsk;80-180;m;1992-01-03;True;freelancer;3;2;3
Gdańsk;80-041;m;1960-06-19;False;;1;2;0
Stalowa Wola;37-467;f;1981-11-26;False;;2;1;7
Warszawa;00-879;f;1995-07-05;True;freelancer;3;1;5
Katowice;40-655;m;1994-11-19;True;freelancer;0;2;7
Bielsko-Biała;43-300;f;1993-05-30;True;full-time;3;1;8
Białystok;15-580;f;1995-12-17;False;;2;1;3
Warszawa;04-683;f;1962-04-10;True;full-time;1;2;4
Łódź;90-952;f;1969-06-21;True;freelancer;3;2;6
Szczecin;71-110;m;1996-02-29;False;;0;1;1
Rawicz;63-900;f;1999-08-23;True;freelancer;2;2;2
Łódź;92-304;f;1995-02-23;False;;0;2;1
Lubin;59-339;f;1975-11-07;False;;1;2;5
Gdańsk;80-180;f;1996-05-13;True;full-time;1;2;3
Lublin;20-453;m;1970-01-02;False;;1;2;3
Łódź;92-116;m;1981-12-04;False;;1;0;4
Kielce;25-532;f;1982-04-03;False;;1;1;9
Dzierżenin;06-114;m;1989-07-14;True;full-time;0;1;1
Sopot;81-760;m;1967-01-14;False;;2;0;2
Poznań;61-435;f;1962-11-05;False;;0;2;1
Poznań;61-546;m;1977-12-25;True;self-employment;0;1;9
Kraków;31-644;m;1967-10-26;False;;1;2;7
Maksymilianowo;86-021;f;1976-09-26;True;self-employment;0;2;5
Katowice;40-719;m;1966-04-21;False;;2;1;3
Lublin;20-830;f;1978-10-11;False;;3;0;6
Poznań;61-770;f;1988-04-01;False;;0;1;6
Białystok;15-198;f;1980-03-20;False;;2;1;2
Rzeszów;35-303;f;1966-06-26;False;;3;1;1
Gdynia;81-163;f;1970-12-06;True;freelancer;0;1;6
Bydgoszcz;85-114;m;1993-09-23;False;;1;0;9
